InvoiceID,Date,Time,CustomerID,ProductID,Quantity
C536379,2010-12-01,09:41:00,14527,D,-1
C536383,2010-12-01,09:49:00,15311,35004C,-1
C536391,2010-12-01,10:24:00,17548,22556,-12
C536391,2010-12-01,10:24:00,17548,21984,-24
C536391,2010-12-01,10:24:00,17548,21983,-24
C536391,2010-12-01,10:24:00,17548,21980,-24
C536391,2010-12-01,10:24:00,17548,21484,-12
C536391,2010-12-01,10:24:00,17548,22557,-12
C536391,2010-12-01,10:24:00,17548,22553,-24
C536506,2010-12-01,12:38:00,17897,22960,-6
C536543,2010-12-01,14:30:00,17841,22632,-1
C536543,2010-12-01,14:30:00,17841,22355,-2
C536548,2010-12-01,14:33:00,12472,22244,-4
C536548,2010-12-01,14:33:00,12472,22242,-5
C536548,2010-12-01,14:33:00,12472,20914,-1
C536548,2010-12-01,14:33:00,12472,22892,-7
C536548,2010-12-01,14:33:00,12472,22654,-1
C536548,2010-12-01,14:33:00,12472,22767,-2
C536548,2010-12-01,14:33:00,12472,22333,-1
C536548,2010-12-01,14:33:00,12472,22245,-2
C536548,2010-12-01,14:33:00,12472,22077,-6
C536548,2010-12-01,14:33:00,12472,22631,-1
C536548,2010-12-01,14:33:00,12472,22168,-2
C536548,2010-12-01,14:33:00,12472,21218,-3
C536548,2010-12-01,14:33:00,12472,20957,-1
C536548,2010-12-01,14:33:00,12472,22580,-4
C536606,2010-12-02,09:10:00,14092,20914,-2
C536622,2010-12-02,10:37:00,12471,22752,-2
C536625,2010-12-02,10:46:00,14766,22839,-2
C536642,2010-12-02,11:56:00,14390,21463,-1
C536734,2010-12-02,12:50:00,16042,22780,-4
C536734,2010-12-02,12:50:00,16042,85048,-1
C536737,2010-12-02,13:05:00,15922,22798,-2
C536757,2010-12-02,14:23:00,15838,84347,-9360
C536758,2010-12-02,14:25:00,13767,21314,-1
C536760,2010-12-02,14:29:00,17547,22175,-1
C536760,2010-12-02,14:29:00,17547,22273,-3
C536807,2010-12-02,16:45:00,15834,22501,-2
